event,campaign,home,away
16830,FB17-PlayoffWeek1,MPSSAA-Maryland,no-opponent-given
17255,FB17-PlayoffWeek2,Thompson-High-School,Huntsville-High-School
14003,FB17-PlayoffWeek3,VPA-Vermont,no-opponent-given
16335,FB17-PlayoffWeek4,NG-Touchdown-Club,no-opponent-given
17513,FB17-PlayoffWeek5,Mater-Dei-High-School,Vista-Murrieta-High-School
13966,FB17-PlayoffWeek6,NYSPHSAA-Section-VIII,no-opponent-given
15608,FB17-PlayoffWeek7,Trinity-Christian-Academy,The-Bolles-School
4638,FB17-PlayoffWeek8,Menlo-Atherton-High-School,Aragon-High-School
17358,FB17-PlayoffWeek9,Mill-Creek-High-School,West-Forsyth-High-School
13968,FB17-PlayoffWeek10,NYSPHSAA-Section-VIII,no-opponent-given
17401,FB17-PlayoffWeek11,Sherando-High-School,Dominion-High-School
17258,FB17-PlayoffWeek12,Benjamin-Russell-High-School,Saraland-High-School
15641,FB17-PlayoffWeek13,St.-Augustine-High-School,Tate-High-School
13965,FB17-PlayoffWeek14,NYSPHSAA-Section-VIII,no-opponent-given
17356,FB17-PlayoffWeek15,Tift-County-High-School,Newnan-High-School
15914,FB17-PlayoffWeek16,Patterson-High-School,East-Union-High-School
15929,FB17-PlayoffWeek17,Orangevale-Casa-Roble-High-School,Union-Mine-High-School
15902,FB17-PlayoffWeek18,Del-Oro-High-School,Lincoln-High-School
15078,FB17-PlayoffWeek19,Bishop-O'Dowd-High-School,Terra-Linda-High-School
8235,FB17-PlayoffWeek20,Saint-Francis-High-School,Junipero-Serra-High-School
12775,FB17-PlayoffWeek21,VPA-Vermont,no-opponent-given
15881,FB17-PlayoffWeek22,Folsom-High-School,River-City-High-School
13967,FB17-PlayoffWeek23,NYSPHSAA-Section-VIII,no-opponent-given
17362,FB17-PlayoffWeek24,Walton-High-School,North-Cobb-High-School
17366,FB17-PlayoffWeek25,North-Gwinnett-High-School,North-Forsyth-High-School
17289,FB17-PlayoffWeek26,Briarwood-Christian-School,Crossville-High-School
17250,FB17-PlayoffWeek27,Auburn-High-School,Davidson-High-School
17247,FB17-PlayoffWeek28,T.-L.-Hanna-High-School,Greenwood-High-School
17520,FB17-PlayoffWeek29,MPSSAA-Maryland,no-opponent-given
15884,FB17-PlayoffWeek30,Jesuit-High-School,Modesto-High-School
15899,FB17-PlayoffWeek31,Del-Campo-High-School,Buhach-Colony-High-School
17364,FB17-PlayoffWeek32,South-Forsyth-High-School,Mountain-View-High-School
15901,FB17-PlayoffWeek33,Rocklin-High-School,Thomas-Downey-High-School
15649,FB17-PlayoffWeek34,North-Fort-Myers-High-School,Clearwater-High-School
15882,FB17-PlayoffWeek35,Tracy-High-School,Turlock-High-School
17383,FB17-PlayoffWeek36,Americus-Sumter-High-School,Howard-High-School
17385,FB17-PlayoffWeek37,Cedar-Grove-High-School,Adairsville-High-School
17586,FB17-PlayoffWeek38,Hickory-Ridge-High-School,West-Charlotte-High-School
17382,FB17-PlayoffWeek39,Cartersville-High-School,GHSA-Georgia
17360,FB17-PlayoffWeek40,Walton-High-School,North-Cobb-High-School
14002,FB17-PlayoffWeek41,VPA-Vermont,no-opponent-given
15091,FB17-PlayoffWeek42,San-Marin-High-School,Saint-Mary's-College-High-School
15592,FB17-PlayoffWeek43,West-Nassau-High-School,Marianna-High-School
17354,FB17-PlayoffWeek44,Milton-High-School,Collins-Hill-High-School
15079,FB17-PlayoffWeek45,Acalanes-High-School,Petaluma-High-School
15897,FB17-PlayoffWeek46,Antelope-High-School,Elk-Grove-High-School
17265,FB17-PlayoffWeek47,Spanish-Fort-High-School,Pelham-High-School
17381,FB17-PlayoffWeek48,Arabia-Mountain-High-School,North-Springs-Charter-High-School
17534,FB17-PlayoffWeek49,NHIAA-New-Hampshire,no-opponent-given
15949,FB17-PlayoffWeek50,Modesto-Christian-High-School,Gustine-High-School
15549,FB17-PlayoffWeek51,Dixie-County-High-School,Lafayette-High-School
15712,FB17-PlayoffWeek52,Tampa-Bay-Technical-High-School,Bloomingdale-High-School
17367,FB17-PlayoffWeek53,Woodstock-High-School,North-Paulding-High-School
17257,FB17-PlayoffWeek54,Hewitt-Trussville-High-School,Spain-Park-High-School
17269,FB17-PlayoffWeek55,Pinson-Valley-High-School,Florence-High-School
17280,FB17-PlayoffWeek56,Eufaula-High-School,Sylacauga-High-School
17361,FB17-PlayoffWeek57,Pebblebrook-High-School,Colquitt-County-High-School
15061,FB17-PlayoffWeek58,Campolindo-High-School,Washington-High-School
17256,FB17-PlayoffWeek59,Hoover-High-School,Sparkman-High-School
15943,FB17-PlayoffWeek60,Capital-Christian-School,Bear-River-High-School
15733,FB17-PlayoffWeek61,Seminole-High-School,Apopka-High-School
15735,FB17-PlayoffWeek62,Wekiva-High-School,Lake-Mary-High-School
7049,FB17-PlayoffWeek63,Lamar-Consolidated-High-School,Foster-High-School
17359,FB17-PlayoffWeek64,Archer-High-School,Meadowcreek-High-School
15888,FB17-PlayoffWeek65,Oak-Ridge-High-School,Lincoln-High-School
15743,FB17-PlayoffWeek66,Palm-Beach-Central-High-School,Seminole-Ridge-Community-High-School
17368,FB17-PlayoffWeek67,Westlake-High-School,Marietta-High-School
17490,FB17-PlayoffWeek68,Dinwiddie-High-School,Huguenot-High-School
17331,FB17-PlayoffWeek69,Sulligent-High-School,Westbrook-Christian-School
15739,FB17-PlayoffWeek70,Vero-Beach-High-School,Olympia-High-School
17613,FB17-PlayoffWeek71,Coeur-D'-Alene-High-School,Mountain-View-High-School
8495,FB17-PlayoffWeek72,Lamar-Consolidated-High-School,Lamar-Consolidated-High-School
